V,I,G,P,no_module_fault,fault,partial_shading
140.07392,9.78657,843.15221,1370.8432232544,0,0,0
140.87599,9.80865,843.13241,1381.8032793135,0,0,0
136.02542,9.80933,843.13943,1334.3182331686,0,0,0
139.12212,9.83183,843.11325,1367.8250330796,0,0,0
138.506,9.83157,842.95485,1361.73143442,0,0,0
139.85643,9.81708,843.31572,1372.9817618244,0,0,0
141.60918,9.81766,843.11303,1390.2707821188,0,0,0
140.22232,9.81383,843.13198,1376.1180106856,0,0,0
139.30646,9.82674,842.99487,1368.9283627404,0,0,0
142.82741,9.8089,843.33083,1400.979781949,0,0,0
142.44239,9.77926,843.04277,1392.9811668314,0,0,0
138.39293,9.79198,843.09451,1355.1408027014,0,0,0
141.41194,9.8283,842.89757,1389.838969902,0,0,0
